r,C_j
0.000000000000000000e+00,9.526261337278479857e+01
1.000000000000000000e+00,-4.755837851788603388e+01
2.000000000000000000e+00,4.757391973594511825e+00
3.000000000000000000e+00,2.423885555490308263e+00
4.000000000000000000e+00,-4.436430995333111582e-01
5.000000000000000000e+00,1.706351993079344709e-01
6.000000000000000000e+00,-1.213325232226232231e-01
7.000000000000000000e+00,3.348727042676458154e-02
8.000000000000000000e+00,1.242395628382553241e-02
9.000000000000000000e+00,4.418635071097298805e-04
1.000000000000000000e+01,1.469827974858617381e-03
1.100000000000000000e+01,1.417326580668287761e-03
1.200000000000000000e+01,1.368868057287642159e-03
1.300000000000000000e+01,1.170917268879634321e-03
1.400000000000000000e+01,1.005203986341740574e-03
1.500000000000000000e+01,8.881241037244080871e-04
1.600000000000000000e+01,7.850143507823759137e-04
1.700000000000000000e+01,6.881750845870726607e-04
1.800000000000000000e+01,6.071175417865504187e-04
1.900000000000000000e+01,5.388080007087125978e-04
2.000000000000000000e+01,4.767987496840930817e-04
2.100000000000000000e+01,4.281287810918854575e-04
2.200000000000000000e+01,3.830405137783543523e-04
2.300000000000000000e+01,3.463719045484481285e-04
2.400000000000000000e+01,3.130602868637311076e-04
2.500000000000000000e+01,2.848786542841708069e-04
2.600000000000000000e+01,2.601807503488373641e-04
2.700000000000000000e+01,2.382906925753047744e-04
2.800000000000000000e+01,2.193073419256563739e-04
2.900000000000000000e+01,2.024578584176595086e-04
3.000000000000000000e+01,1.875310161381094076e-04
3.100000000000000000e+01,1.740587791871917034e-04
3.200000000000000000e+01,1.620053236379703776e-04
3.300000000000000000e+01,1.510701239979539423e-04
3.400000000000000000e+01,1.410806119501728517e-04
3.500000000000000000e+01,1.319404665913737063e-04
3.600000000000000000e+01,1.235010113056489445e-04
3.700000000000000000e+01,1.157015155612839408e-04
3.800000000000000000e+01,1.085849838062813433e-04
3.900000000000000000e+01,1.018690192715610010e-04
4.000000000000000000e+01,9.561464594298740849e-05
4.100000000000000000e+01,8.976234346391720464e-05
4.200000000000000000e+01,8.431635722061514571e-05
4.300000000000000000e+01,7.919410478507415974e-05
4.400000000000000000e+01,7.438928957625989824e-05
4.500000000000000000e+01,6.998901046628702716e-05
4.600000000000000000e+01,6.573790770758591862e-05
4.700000000000000000e+01,6.181345922939840420e-05
4.800000000000000000e+01,5.810302343789430779e-05
4.900000000000000000e+01,5.460664578649243595e-05
5.000000000000000000e+01,5.134359442848790422e-05
5.100000000000000000e+01,4.829960393593069057e-05
5.200000000000000000e+01,4.544279348550617215e-05
5.300000000000000000e+01,4.270523889715605037e-05
5.400000000000000000e+01,4.018703700836567805e-05
5.500000000000000000e+01,3.780361786809294244e-05
5.600000000000000000e+01,3.552593967626194171e-05
5.700000000000000000e+01,3.342659449501184099e-05
5.800000000000000000e+01,3.145019016415062652e-05
5.900000000000000000e+01,2.956797655428999860e-05
6.000000000000000000e+01,2.780585526807044516e-05
6.100000000000000000e+01,2.612578522587227781e-05
6.200000000000000000e+01,2.455353750008271163e-05
6.300000000000000000e+01,2.305186739803843921e-05
6.400000000000000000e+01,2.164751122890606894e-05
6.500000000000000000e+01,2.034395828687252106e-05
6.600000000000000000e+01,1.905429758153331932e-05
6.700000000000000000e+01,1.788837385774399991e-05
6.800000000000000000e+01,1.672747485059744577e-05
6.900000000000000000e+01,1.565112100010424001e-05
7.000000000000000000e+01,1.460830456068151761e-05
7.100000000000000000e+01,1.362561733131428809e-05
7.200000000000000000e+01,1.267949890504382893e-05
7.300000000000000000e+01,1.175291987820514805e-05
7.400000000000000000e+01,1.087352672968222578e-05
7.500000000000000000e+01,1.000815700535895303e-05
7.600000000000000000e+01,9.165899516716535800e-06
7.700000000000000000e+01,8.333624737844047559e-06
7.800000000000000000e+01,7.537364066223517511e-06
7.900000000000000000e+01,6.722408905091015185e-06
