r,C_n
0.000000000000000000e+00,1.260927052974126639e+01
1.000000000000000000e+00,5.217589544970806514e-01
2.000000000000000000e+00,-3.290550240138905735e+00
3.000000000000000000e+00,-8.128797236821867500e-01
4.000000000000000000e+00,-3.788253868962669912e-01
5.000000000000000000e+00,-1.178977127722049545e-01
6.000000000000000000e+00,-3.092290268290298627e-02
7.000000000000000000e+00,-6.699695791525073219e-03
8.000000000000000000e+00,-7.396352968555675034e-03
9.000000000000000000e+00,-4.848051965353761261e-03
1.000000000000000000e+01,-3.586334268923963009e-03
1.100000000000000000e+01,-2.975067364999972597e-03
1.200000000000000000e+01,-2.662925160215934284e-03
1.300000000000000000e+01,-2.474306835473782940e-03
1.400000000000000000e+01,-2.286769515173148193e-03
1.500000000000000000e+01,-2.138329788856196956e-03
1.600000000000000000e+01,-1.983437127350384799e-03
1.700000000000000000e+01,-1.847755773994208539e-03
1.800000000000000000e+01,-1.732705426718439412e-03
1.900000000000000000e+01,-1.614634749401488989e-03
2.000000000000000000e+01,-1.533265106381520582e-03
2.100000000000000000e+01,-1.439918803562534322e-03
2.200000000000000000e+01,-1.377138723505311191e-03
2.300000000000000000e+01,-1.311860570631040446e-03
2.400000000000000000e+01,-1.255077413354399596e-03
2.500000000000000000e+01,-1.213271160708018215e-03
2.600000000000000000e+01,-1.161706159308550923e-03
2.700000000000000000e+01,-1.132899644986196108e-03
2.800000000000000000e+01,-1.090583092242525254e-03
2.900000000000000000e+01,-1.064224315484807448e-03
3.000000000000000000e+01,-1.034950739089879335e-03
3.100000000000000000e+01,-1.005598963224940690e-03
3.200000000000000000e+01,-9.870526256889888828e-04
3.300000000000000000e+01,-9.565753252473996326e-04
3.400000000000000000e+01,-9.417615834479420300e-04
3.500000000000000000e+01,-9.151691273459050535e-04
3.600000000000000000e+01,-8.978438039264347026e-04
3.700000000000000000e+01,-8.787995978210005887e-04
3.800000000000000000e+01,-8.568270365358898744e-04
3.900000000000000000e+01,-8.441724383203563775e-04
4.000000000000000000e+01,-8.204504020241643047e-04
4.100000000000000000e+01,-8.088229325480256193e-04
4.200000000000000000e+01,-7.882689292841860151e-04
4.300000000000000000e+01,-7.735745874555277624e-04
4.400000000000000000e+01,-7.590279983773484673e-04
4.500000000000000000e+01,-7.404746874399847911e-04
4.600000000000000000e+01,-7.305264819734702542e-04
4.700000000000000000e+01,-7.110759409627576133e-04
4.800000000000000000e+01,-7.013418493002632204e-04
4.900000000000000000e+01,-6.851806141838778785e-04
5.000000000000000000e+01,-6.725116033052813691e-04
5.100000000000000000e+01,-6.614841171241891971e-04
5.200000000000000000e+01,-6.459476285627374637e-04
5.300000000000000000e+01,-6.382186434663594810e-04
5.400000000000000000e+01,-6.225249163946955377e-04
5.500000000000000000e+01,-6.145839408162601103e-04
5.600000000000000000e+01,-6.021576550949703233e-04
5.700000000000000000e+01,-5.914352778333409333e-04
5.800000000000000000e+01,-5.832941053469653525e-04
5.900000000000000000e+01,-5.704096551539805660e-04
6.000000000000000000e+01,-5.645520023449535074e-04
6.100000000000000000e+01,-5.520446236886300539e-04
6.200000000000000000e+01,-5.454400823126093201e-04
6.300000000000000000e+01,-5.359896354875104407e-04
6.400000000000000000e+01,-5.269446249869247367e-04
6.500000000000000000e+01,-5.210567561135803771e-04
6.600000000000000000e+01,-5.104210076112281058e-04
6.700000000000000000e+01,-5.060067467184126144e-04
6.800000000000000000e+01,-4.961596736379192407e-04
6.900000000000000000e+01,-4.906987980675125982e-04
7.000000000000000000e+01,-4.836528663574313214e-04
7.100000000000000000e+01,-4.759996092928986400e-04
7.200000000000000000e+01,-4.717734028290010428e-04
7.300000000000000000e+01,-4.628308804512926145e-04
7.400000000000000000e+01,-4.594520648737443480e-04
7.500000000000000000e+01,-4.514349835815778533e-04
7.600000000000000000e+01,-4.466873244055591385e-04
7.700000000000000000e+01,-4.411864268121235000e-04
7.800000000000000000e+01,-4.342262127821072681e-04
7.900000000000000000e+01,-4.312471087715152862e-04
