site,n
0.000000000000000000e+00,1.771709096105224202e+00
1.000000000000000000e+00,2.069033147483004154e+00
2.000000000000000000e+00,2.292541446900475233e+00
3.000000000000000000e+00,2.363565248453347589e+00
4.000000000000000000e+00,2.399624762417549295e+00
5.000000000000000000e+00,2.412137456190551088e+00
6.000000000000000000e+00,2.419932949037430170e+00
7.000000000000000000e+00,2.422632478328016425e+00
8.000000000000000000e+00,2.424098865154624693e+00
9.000000000000000000e+00,2.424569750199005114e+00
1.000000000000000000e+01,2.424826029026879493e+00
1.100000000000000000e+01,2.424978363875822662e+00
1.200000000000000000e+01,2.424952858783983700e+00
1.300000000000000000e+01,2.425064089465113870e+00
1.400000000000000000e+01,2.424995168202515039e+00
1.500000000000000000e+01,2.425056965630900230e+00
1.600000000000000000e+01,2.425034602037739795e+00
1.700000000000000000e+01,2.425026396588136013e+00
1.800000000000000000e+01,2.425064014394830991e+00
1.900000000000000000e+01,2.425008132914554526e+00
2.000000000000000000e+01,2.425068319471798350e+00
2.100000000000000000e+01,2.425015271155720242e+00
2.200000000000000000e+01,2.425048697206045212e+00
2.300000000000000000e+01,2.425038745936939577e+00
2.400000000000000000e+01,2.425022554021973864e+00
2.500000000000000000e+01,2.425058153455943888e+00
2.600000000000000000e+01,2.425009932767022480e+00
2.700000000000000000e+01,2.425058317535030206e+00
2.800000000000000000e+01,2.425018602656295652e+00
2.900000000000000000e+01,2.425040198367854227e+00
3.000000000000000000e+01,2.425039449227128774e+00
3.100000000000000000e+01,2.425018817195456755e+00
3.200000000000000000e+01,2.425054676271773513e+00
3.300000000000000000e+01,2.425010837831212296e+00
3.400000000000000000e+01,2.425052223561575016e+00
3.500000000000000000e+01,2.425021411343039723e+00
3.600000000000000000e+01,2.425034640349261750e+00
3.700000000000000000e+01,2.425040865447487093e+00
3.800000000000000000e+01,2.425016380225653467e+00
3.900000000000000000e+01,2.425052997076016847e+00
4.000000000000000000e+01,2.425011932686996552e+00
4.100000000000000000e+01,2.425048156916408626e+00
4.200000000000000000e+01,2.425024242489767889e+00
4.300000000000000000e+01,2.425030567737656462e+00
4.400000000000000000e+01,2.425042776303334868e+00
4.500000000000000000e+01,2.425014588669095694e+00
4.600000000000000000e+01,2.425052265984887878e+00
4.700000000000000000e+01,2.425013158501532207e+00
4.800000000000000000e+01,2.425045131968527112e+00
4.900000000000000000e+01,2.425027225222247562e+00
5.000000000000000000e+01,2.425027210048401827e+00
5.100000000000000000e+01,2.425045151150207801e+00
5.200000000000000000e+01,2.425013143321878228e+00
5.300000000000000000e+01,2.425052263905383754e+00
5.400000000000000000e+01,2.425014610062124376e+00
5.500000000000000000e+01,2.425042741588156581e+00
5.600000000000000000e+01,2.425030587755788503e+00
5.700000000000000000e+01,2.425024232376061573e+00
5.800000000000000000e+01,2.425048164628158531e+00
5.900000000000000000e+01,2.425011924245766615e+00
6.000000000000000000e+01,2.425052974196566957e+00
6.100000000000000000e+01,2.425016414797828812e+00
6.200000000000000000e+01,2.425040831598899160e+00
6.300000000000000000e+01,2.425034664983497734e+00
6.400000000000000000e+01,2.425021391194662979e+00
6.500000000000000000e+01,2.425052214836036502e+00
6.600000000000000000e+01,2.425010830256156158e+00
6.700000000000000000e+01,2.425054648178937899e+00
6.800000000000000000e+01,2.425018846852377230e+00
6.900000000000000000e+01,2.425039414508930236e+00
7.000000000000000000e+01,2.425040204831170332e+00
7.100000000000000000e+01,2.425018588577319445e+00
7.200000000000000000e+01,2.425058303052434194e+00
7.300000000000000000e+01,2.425009929900464822e+00
7.400000000000000000e+01,2.425058144734915100e+00
7.500000000000000000e+01,2.425022549772578362e+00
7.600000000000000000e+01,2.425038729642215785e+00
7.700000000000000000e+01,2.425048687231568412e+00
7.800000000000000000e+01,2.425015251097558444e+00
7.900000000000000000e+01,2.425068317063177048e+00
8.000000000000000000e+01,2.425008118287012682e+00
8.100000000000000000e+01,2.425064003809039193e+00
8.200000000000000000e+01,2.425026374144564567e+00
8.300000000000000000e+01,2.425034590151617042e+00
8.400000000000000000e+01,2.425056945833997890e+00
8.500000000000000000e+01,2.424995144658420365e+00
8.600000000000000000e+01,2.425064061774699464e+00
8.700000000000000000e+01,2.424952818447080993e+00
8.800000000000000000e+01,2.424978321970186812e+00
8.900000000000000000e+01,2.424825987175066366e+00
9.000000000000000000e+01,2.424569704953766003e+00
9.100000000000000000e+01,2.424098822768245398e+00
9.200000000000000000e+01,2.422632439343873845e+00
9.300000000000000000e+01,2.419932909172160862e+00
9.400000000000000000e+01,2.412137408940326022e+00
9.500000000000000000e+01,2.399624712362338652e+00
9.600000000000000000e+01,2.363565189381421128e+00
9.700000000000000000e+01,2.292541382220655954e+00
9.800000000000000000e+01,2.069033083410173557e+00
9.900000000000000000e+01,1.771709045701196139e+00
