r,C_sp
0.000000000000000000e+00,2.424826029026880381e+00
1.000000000000000000e+00,2.252882824416270857e+00
2.000000000000000000e+00,2.036555690870517576e+00
3.000000000000000000e+00,1.862876488545561537e+00
4.000000000000000000e+00,1.704722833519609404e+00
5.000000000000000000e+00,1.564151101185675907e+00
6.000000000000000000e+00,1.439719494546496392e+00
7.000000000000000000e+00,1.330110931759020287e+00
8.000000000000000000e+00,1.233290086910298289e+00
9.000000000000000000e+00,1.147281245835096941e+00
1.000000000000000000e+01,1.070729854010201043e+00
1.100000000000000000e+01,1.002374407743784390e+00
1.200000000000000000e+01,9.410885634736730898e-01
1.300000000000000000e+01,8.860365952444605453e-01
1.400000000000000000e+01,8.363349499363914585e-01
1.500000000000000000e+01,7.913989318549491392e-01
1.600000000000000000e+01,7.505907018803154029e-01
1.700000000000000000e+01,7.134415454052621675e-01
1.800000000000000000e+01,6.795327135021704823e-01
1.900000000000000000e+01,6.484580139246708397e-01
2.000000000000000000e+01,6.199519980826911913e-01
2.100000000000000000e+01,5.936785213345240342e-01
2.200000000000000000e+01,5.694461218688179338e-01
2.300000000000000000e+01,5.470103551165639288e-01
2.400000000000000000e+01,5.261958983212432495e-01
2.500000000000000000e+01,5.068533306203879540e-01
2.600000000000000000e+01,4.888079298296237329e-01
2.700000000000000000e+01,4.719732465925517984e-01
2.800000000000000000e+01,4.561960006976990001e-01
2.900000000000000000e+01,4.414096900538521662e-01
3.000000000000000000e+01,4.275075267607686968e-01
3.100000000000000000e+01,4.144113750766493243e-01
3.200000000000000000e+01,4.020660849085868627e-01
3.300000000000000000e+01,3.903806291150280217e-01
3.400000000000000000e+01,3.793304017854480792e-01
3.500000000000000000e+01,3.688336779878179095e-01
3.600000000000000000e+01,3.588672074715433813e-01
3.700000000000000000e+01,3.493794057052717617e-01
3.800000000000000000e+01,3.403284561947431119e-01
3.900000000000000000e+01,3.316966883247606246e-01
4.000000000000000000e+01,3.234279317880658922e-01
4.100000000000000000e+01,3.155208016239334778e-01
4.200000000000000000e+01,3.079252190416917334e-01
4.300000000000000000e+01,3.006335782404108703e-01
4.400000000000000000e+01,2.936196840287652043e-01
4.500000000000000000e+01,2.868558456819663705e-01
4.600000000000000000e+01,2.803409101220041832e-01
4.700000000000000000e+01,2.740346036737277835e-01
4.800000000000000000e+01,2.679444508199496644e-01
4.900000000000000000e+01,2.620365604448591235e-01
5.000000000000000000e+01,2.563082140103829509e-01
5.100000000000000000e+01,2.507462492497012918e-01
5.200000000000000000e+01,2.453285048516706535e-01
5.300000000000000000e+01,2.400610999824779601e-01
5.400000000000000000e+01,2.349119121709028757e-01
5.500000000000000000e+01,2.298912538160313990e-01
5.600000000000000000e+01,2.249741532023232793e-01
5.700000000000000000e+01,2.201580439025325464e-01
5.800000000000000000e+01,2.154370609235382039e-01
5.900000000000000000e+01,2.107901889987495170e-01
6.000000000000000000e+01,2.062267646296349621e-01
6.100000000000000000e+01,2.017181493583924956e-01
6.200000000000000000e+01,1.972742240161176053e-01
6.300000000000000000e+01,1.928746321553004850e-01
6.400000000000000000e+01,1.885142480087239614e-01
6.500000000000000000e+01,1.841906205354515158e-01
6.600000000000000000e+01,1.798802367227495536e-01
6.700000000000000000e+01,1.755927987921809541e-01
6.800000000000000000e+01,1.712986244095474064e-01
6.900000000000000000e+01,1.670035317525986884e-01
7.000000000000000000e+01,1.626866797748986737e-01
7.100000000000000000e+01,1.583347511132082441e-01
7.200000000000000000e+01,1.539428528653669082e-01
7.300000000000000000e+01,1.494768076231786924e-01
7.400000000000000000e+01,1.449386456282732716e-01
7.500000000000000000e+01,1.402853616310255624e-01
7.600000000000000000e+01,1.355054933268149686e-01
7.700000000000000000e+01,1.305605382479010368e-01
7.800000000000000000e+01,1.254067345353687968e-01
7.900000000000000000e+01,1.200123350580000886e-01
